District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Agra, UP,1.65,421,24856,266,25543,0,444263,87724,531987,43103,500336,0,270772,184652,109,190073,152140,113229
Aligarh, UP,0.49,103,20701,314,21118,0.01,318693,65380,384073,64461,326790,0,191560,134133,82,146390,101400,77959
Allahabad, UP,1.15,894,76566,507,77967,0.01,504392,112861,617253,67013,560618,0,307954,203854,156,220742,165147,125760
Ambedkar Nagar, UP,2.94,145,4583,201,4929,0.01,124425,33382,157807,22211,137667,0,73357,52862,22,20795,61407,43967
Amroha, UP,1.02,168,15915,380,16463,0.02,108894,27454,136348,21940,117632,0,63274,48663,16,14779,54804,42338
Auraiya, UP,1.79,180,9697,151,10028,0.01,78150,25592,103742,10327,95616,0,47665,32588,7,11690,38283,30154
Azamgarh, UP,1.21,215,17023,550,17788,0.01,298461,53794,352255,57702,302128,0,177224,129066,90,109347,104178,92806
Baghpat, UP,1.48,133,8326,531,8990,0.04,173500,30227,203727,13794,195446,0,96041,83003,37,12576,102963,63528
Bahraich, UP,1.51,171,10816,329,11316,0.01,269937,63969,333906,39291,301146,0,154197,123023,30,28542,143423,105250
Ballia, UP,1.06,228,21164,123,21515,0,171351,49583,220934,34398,189637,0,100515,74315,68,19927,77805,77543
Balrampur, UP,1.77,130,7041,192,7363,0.01,200423,46721,247144,31454,220285,0,114245,90754,27,17445,108553,78987
Banda, UP,1.35,148,10716,67,10931,0,123739,22525,146264,11953,136884,0,76499,49724,33,40232,48415,37593
Barabanki, UP,1.08,212,19088,332,19632,0.01,215952,49269,265221,25900,246852,0,128081,95235,35,27590,112468,83250
Bareilly, UP,0.66,287,41992,1411,43690,0.03,449991,92626,542617,60469,495214,0,264779,195672,149,199668,158849,101849
Basti, UP,2.74,317,11031,224,11572,0.01,218364,38136,256500,11300,250541,0,132345,91390,51,65534,82098,76252
Bhadohi, UP,2.01,154,7321,189,7664,0.01,120930,27623,148553,17362,133872,0,67410,56063,32,13092,63791,46600
Bijnor, UP,0.68,100,14189,346,14635,0.01,244415,64221,308636,42244,273444,0,135804,115428,35,24883,137430,88842
Budaun, UP,0.66,98,14498,241,14837,0.01,201206,42073,243279,22772,223011,0,109678,93852,33,20655,92248,90631
Bulandshahr, UP,1.07,211,18650,902,19763,0.02,278827,74922,353749,46341,322543,0,161579,132285,38,31857,164301,97696
Chandauli, UP,2.13,342,15607,141,16090,0.01,118449,26187,144636,10113,137159,0,68140,9393800,18,16821,57354,47090
Chitrakoot, UP,1.07,76,6962,41,7079,0,55515,10876,66391,5733,61942,0,33360,23457,9,9383,24532,22874
Deoria, UP,0.96,191,19293,507,19991,0.01,193156,50020,243176,19864,227569,0,110555,86914,37,19983,87222,90264
Etah, UP,0.9,89,9626,188,9903,0.01,90487,21351,111838,11629,102451,0,53624,39042,16,13414,47561,31687
Etawah, UP,2.03,280,13283,231,13794,0.01,105192,32382,137574,13743,125582,0,62189,44699,20,17538,49628,39668
Faizabad, UP,1.43,238,16003,451,16692,0.01,188331,43917,232248,22761,213444,0,114719,77241,69,84344,61559,46076
Farrukhabad, UP,1.75,179,9897,172,10248,0.01,102790,38499,141289,15873,128619,0,62419,43670,25,14046,52159,39913
Fatehpur, UP,1.9,128,6574,43,6745,0,146856,40688,187544,33398,156571,0,84495,64807,24,17614,68622,63097
Firozabad, UP,1.56,134,8325,155,8614,0.01,193629,34921,228550,20548,210975,0,113718,82607,54,68815,77700,49838
Gautam BuddhaNagar, UP,0.72,450,61027,947,62424,0.05,607827,102088,709915,57935,675461,0,382146,253181,164,318566,194847,123075
Ghaziabad, UP,0.81,445,53629,1025,55099,0.03,539900,99142,639042,68530,586863,0,316297,240031,117,216726,212820,127235
Ghazipur, UP,1.18,252,20636,500,21388,0.01,202081,46809,248890,27925,229994,0,119471,93478,31,23281,104182,86107
Gonda, UP,1.91,230,11640,196,12066,0,298889,48931,347820,39869,318861,0,184781,125324,91,83388,136291,90443
Gorakhpur, UP,1.19,704,56948,1284,58936,0.02,469768,91902,561670,69280,503447,0,278056,201401,132,188412,169280,121816
Hamirpur, UP,1.87,97,5070,26,5193,0,95190,19288,114478,8127,109584,0,54360,44075,10,11100,49465,37875
Hapur (Panchsheel Nagar), UP,1.58,196,11719,487,12402,0.03,113309,25954,139263,15986,126519,0,65501,50909,13,14593,63005,38798
Hardoi, UP,2.46,333,12928,291,13552,0.01,169592,47955,217547,26402,195352,0,98134,76025,34,24531,85071,64612
Hathras, UP,1.16,33,2755,46,2834,0,124202,25653,149855,17163,134925,0,68368,57984,12,11701,59422,55224
Jalaun, UP,1.63,188,11249,120,11557,0.01,131654,22643,154297,9120,149600,0,77570,58523,18,13458,67953,54691
Jaunpur, UP,1.01,225,21667,415,22307,0.01,271799,74039,345838,44478,304672,0,150425,124581,60,23701,123600,127740
Jhansi, UP,1.66,604,35270,506,36380,0.02,200772,43585,244357,30015,218665,0,121144,83819,71,94347,63253,47379
Kannauj, UP,1.18,108,8970,81,9159,0,75853,20442,96295,5705,93212,0,47020,31940,26,13999,36524,28449
Kanpur Dehat, UP,1.62,99,5997,33,6129,0,117007,28450,145457,10804,136787,0,70273,49147,40,12890,60795,45715
Kanpur Nagar, UP,2.09,1721,80279,372,82372,0.01,532041,106689,638730,75797,576543,0,314274,229021,121,210414,190257,142478
Kanshiram Nagar, UP,1.26,53,4112,28,4193,0,73963,19964,93927,12476,83090,0,42106,33419,11,12449,33866,29210
Kaushambi, UP,1.52,67,4311,17,4395,0,85052,21435,106487,9927,98415,0,49590,37249,6,12233,43367,31242
Kushinagar, UP,1.36,209,14741,406,15356,0.01,203213,51117,254330,34040,223753,0,117926,88856,26,22652,100407,83905
Lakhimpur Kheri, UP,1.05,253,23377,438,24068,0.01,193578,42384,235962,32063,208455,0,54865,49529,14,24508,51865,28140
Lalitpur, UP,0.95,120,12394,173,12687,0.01,74598,15003,89601,9972,81197,0,42141,33991,10,10388,34085,31664
Lucknow, UP,1.04,2477,233782,1465,237724,0.03,815959,208579,1024538,152922,871616,0,469535,347061,231,361478,271787,183129
Maharajganj, UP,1,122,11911,201,12234,0.01,153447,38220,191667,21990,169677,0,86106,67550,25,21720,71151,60784
Mahoba, UP,2,85,4127,45,4257,0,101518,17960,119478,5775,113703,0,54454,47055,16,9371,47901,44237
Mainpuri, UP,1.72,169,9488,161,9818,0.01,109554,24224,133778,16994,116784,0,60701,48836,18,13955,49171,46389
Mathura, UP,1.55,314,19560,347,20221,0.01,294352,55203,349555,46619,302936,0,171461,123033,61,95656,113868,84972
Mau, UP,0.88,71,7844,199,8114,0.01,119650,35243,154893,18358,136535,0,68546,51083,25,20667,54998,43846
Meerut, UP,1.22,844,66496,1625,68965,0.04,540354,108233,648587,91010,557577,0,299478,240787,124,169133,228010,143139
Mirzapur, UP,0.86,94,10752,102,10948,0,239690,42719,282409,27842,254567,0,136730,102925,66,77942,87066,74616
Moradabad, UP,0.86,336,38258,353,38947,0.01,291945,53344,345289,50029,295260,0,168724,123123,99,131058,98844,61884
Muzaffarnagar, UP,0.85,260,29010,1267,30537,0.04,221915,52063,273978,25542,248436,0,122383,99513,46,19988,121159,80713
Pilibhit, UP,1.4,152,10392,289,10833,0.01,181801,42680,224481,30534,193947,0,98357,83417,28,16402,84358,81021
Pratapgarh, UP,0.99,157,15490,199,15846,0.01,170929,50112,221041,23049,197992,0,94331,76988,40,19858,81139,70331
Rae Bareli, UP,1.82,305,16047,407,16759,0.01,144713,29314,174027,12031,161996,0,79687,65081,26,22363,62013,60397
Rampur, UP,1.23,144,11327,195,11666,0.01,120445,36866,157311,25351,131960,0,65314,55119,12,15465,59468,45467
Saharanpur, UP,1.19,392,30834,1601,32827,0.04,378161,56812,434973,33660,401313,0,213302,164741,119,135805,144049,98261
Sambhal (Bhim Nagar), UP,1.04,98,9123,190,9411,0.01,103484,26326,129810,20077,109733,0,57321,46207,10,13681,56572,33241
Sant Kabir Nagar, UP,1.05,85,7814,164,8063,0.01,96751,23547,120298,11770,108528,0,53492,42965,299,13701,44842,38197
Shahjahanpur, UP,1.61,326,19620,288,20234,0.01,251017,45862,296879,19314,277565,0,148301,102677,78,79980,101471,69488
Shamali (Prabuddh Nagar), UP,0.33,42,12328,385,12755,0.03,106251,23884,130135,20172,109963,0,61029,45284,26,11873,55068,39390
Shravasti, UP,0.8,35,4280,71,4386,0.01,78251,16125,94376,13318,81058,0,46217,32570,7,8967,43716,26102
Siddharth Nagar, UP,1.04,95,8754,326,9175,0.01,204017,42454,246471,20758,225713,0,110716,93682,29,20509,100948,82994
Sitapur, UP,1.42,174,11921,130,12225,0,235144,51752,286896,28728,258168,0,135555,99580,39,28595,112827,93730
Sonbhadra, UP,1.48,247,16100,330,16677,0.02,101282,25345,126627,24640,101987,0,63244,38344,7,18358,54470,28766
Sultanpur, UP,0.86,126,14438,166,14730,0.01,176777,47751,224528,21662,202866,0,96437,80394,24,19582,85331,71817
Unnao, UP,1.42,210,14311,277,14798,0.01,197756,44902,242658,31118,211540,0,108915,88931,28,20087,100059,77720
Varanasi, UP,1.12,951,82380,1458,84789,0.03,459694,109799,569493,97586,471907,0,273162,186502,114,180053,165975,113572
Amethi, UP.,1.23,121,9431,284,9836,0.01,145168,38481,183649,33311,152974,0,79309,68406,29,15027,75148,57517
