District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Amritsar, PB,3.26,1461,40424,2939,44824,0.11,304811,72630,377441,38884,344197,0,174288,138265,28,73692,132883,106198
Barnala, PB,3.72,206,4852,478,5536,0.06,62633,11584,74217,11027,64024,0,36940,26433,6,15186,25761,22578
Bathinda, PB,2.32,909,35721,2518,39148,0.16,131067,28183,159250,17112,144555,0,81555,53069,20,45429,51668,38069
Faridkot, PB,2.11,266,11229,1097,12592,0.15,87846,17923,105769,12477,93977,0,48680,39904,21,17376,37027,34173
Fatehgarh Sahib, PB,2.9,237,7276,648,8161,0.1,54025,11028,65053,8157,57868,0,32080,22817,5,12559,24498,17877
Fazilka, PB,2.38,446,16300,2017,18763,0.16,86295,15527,101822,14815,87943,0,50844,37146,7,19451,38120,30670
Firozepur, PB,3.13,402,10954,1473,12829,0.14,85320,17287,102607,9935,93958,0,50691,36775,8,21845,37353,28378
Gurdaspur, PB,3.48,728,19203,977,20908,0.05,304529,77813,382342,28817,355403,0,159764,146885,34,47143,139711,119919
Hoshiarpur, PB,3.2,922,26504,1346,28772,0.07,299571,62298,361869,25372,339848,0,166882,138514,33,54234,137049,115191
Jalandhar, PB,2.3,1389,56295,2804,60488,0.11,419907,86893,506800,45543,467997,0,229014,199983,58,63385,206129,159659
Kapurthala, PB,2.89,483,15543,703,16729,0.07,113205,20646,133851,13484,122907,0,63132,52954,22,15571,58028,42494
Ludhiana, PB,2.37,2007,79011,3604,84622,0.09,589775,136449,726224,57963,668261,0,349158,246657,71,129856,276272,191560
Mansa, PB,1.43,211,12902,1606,14719,0.18,59459,8161,67620,7112,60508,0,36011,23828,5,19775,22753,17399
Moga, PB,2.41,196,7458,481,8135,0.04,98107,17396,115503,6536,108967,0,55309,44205,10,20159,43252,36470
Muktsar, PB,2.6,460,15499,1733,17692,0.16,90200,12625,102825,14442,88383,0,52947,38516,14,23646,36329,31737
Nawanshahr, PB,2.98,331,10437,327,11095,0.05,119944,20000,139944,18588,121356,0,63681,57276,16,20768,53812,46441
Pathankot, PB,2.15,384,16495,1010,17889,0.13,150799,29879,180678,19622,161056,0,80281,71185,15,20935,72101,58440
Patiala, PB,2.64,1238,43944,1763,46945,0.09,263554,41104,304658,23221,281437,0,149287,115306,15,52104,116533,95984
Rupnagar, PB,3.01,372,11345,629,12346,0.06,78527,13624,92151,12046,80105,0,45446,33871,9,12946,38896,27488
Sahibzada Ajit Singh Nagar, PB,1.46,979,63601,2269,66849,0.19,408985,52156,461141,52925,408216,0,252318,161309,52,238804,100881,74254
Sangrur, PB,5.19,765,12882,1085,14732,0.06,132135,19805,151940,18482,133458,0,78310,54916,19,31457,57386,44425
Tarn Taran, PB,4.21,317,6788,432,7537,0.03,111704,18012,129716,10319,119397,0,63388,49623,15,24299,48203,40636
