District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Adilabad, TG,0,0,15,6801,6816,0.86,52411,16006,68417,10231,58959,0,28537,24883,8,9532,27733,16676
Bhadradri, TG,0,0,4,15014,15018,1.2,121305,41638,162943,31904,132645,0,66434,56784,16,17615,72119,33698
Hyderabad, TG,0.02,23,305,128962,129290,2.88,941609,274464,1216073,276569,990474,4380,571827,455457,143,404874,377203,253194
Jagitial, TG,0,0,2,15219,15221,1.24,126940,32566,159506,24555,136489,0,61992,68254,28,12786,70219,47619
Jangaon, TG,0,0,1,6772,6773,1.15,57232,18807,76039,10339,65961,0,27299,30332,7,5170,27007,25468
Jayashankar, TG,0,0,0,5540,5540,1.09,77950,14758,92708,30881,62704,0,38242,40691,17,6312,41445,31300
Kamareddy, TG,0,0,8,11250,11258,0.96,146591,37294,183885,17562,167186,0,70083,78114,29,13703,81047,53790
Karimnagar, TG,0,0,16,24868,24884,2.49,198654,35624,234278,25499,211371,0,103386,100170,53,23440,108219,72875
Khammam, TG,0,0,3,21610,21613,1.47,126262,48464,174726,33561,143747,0,71661,59898,20,24645,65716,42085
Komram Bheem, TG,0,0,2,4157,4159,0.63,43226,8783,52009,9352,43236,0,22772,21400,11,6381,23506,14395
Mahabubabad, TG,0,0,1,10609,10610,1.17,94145,29262,123407,26054,97353,0,44939,49449,70,8224,45272,41008
Mahabubnagar, TG,0,0,8,14985,14993,1.57,96799,24919,121718,20266,101452,0,47290,49889,19,11669,54401,31288
Mancherial, TG,0.01,1,0,13297,13298,1.59,87193,16027,103220,9549,93671,0,46590,41650,17,12307,45734,30449
Medak, TG,0,0,4,7922,7926,0.92,108293,19905,128198,18168,110030,0,53245,55461,40,9106,63186,36487
Medchal-Malkajgiri, TG,0,1,9,41814,41824,1.76,493621,139824,633445,95387,531387,6671,277880,227716,77,140970,220989,148135
Mulugu, TG,0,0,2,5299,5301,1.1,57056,11391,68447,23675,44772,0,27498,29553,9,4235,35284,17537
Nagarkurnool, TG,0,0,2,11483,11485,0.96,94621,17909,112530,11117,101413,0,45784,49313,41,7743,51662,35874
Nalgonda, TG,0,0,12,23991,24003,1.34,127966,30527,158493,9122,149371,0,69206,60613,12,23563,65404,41770
Narayanpet, TG,0.03,1,0,2967,2968,0.48,33139,7935,41074,5592,35482,0,16756,16552,8,4526,17701,11095
Nirmal, TG,0,0,13,6981,6994,0.84,126423,22979,149402,18655,130747,0,60066,66811,19,8035,83628,35295
Nizamabad, TG,0,0,30,20086,20116,1.15,157978,34435,192413,15478,176935,0,80562,78550,25,23485,86311,49801
Peddapalli, TG,0,0,1,12170,12171,1.19,105391,23342,128733,18266,110467,0,55639,51982,16,12604,56486,38725
Rajanna, TG,0,0,2,10342,10344,1.91,107242,13176,120418,15256,105162,0,50730,56912,36,7521,60757,39397
Rangareddy, TG,0,2,17,44856,44875,1.35,510657,120275,630932,99928,527289,3715,295524,232744,73,197938,200506,130713
Sangareddy, TG,0,0,6,18042,18048,0.98,152292,37917,190209,37676,152533,0,87444,69008,26,33554,81952,40994
Siddipet, TG,0,0,1,17211,17212,1.64,207842,36300,244142,52274,191868,0,96503,112973,58,19063,107831,82625
Suryapet, TG,0,0,24,14052,14076,1.2,132231,31420,163651,22095,141556,0,66668,66726,38,15908,64704,52796
Vikarabad, TG,0.01,1,15,10087,10103,0.85,64100,15870,79970,1941,78029,0,33758,31239,11,10853,33269,20993
Wanaparthy, TG,0,0,0,8762,8762,1.51,52249,12425,64674,6194,58480,0,26232,26576,12,6182,26853,19831
Warangal (Rural), TG,0,0,0,9290,9290,1.04,58314,12483,70797,11961,58836,0,30602,28216,25,8724,29518,20634
Warangal (Urban), TG,0,0,23,22645,22668,2.03,222024,60930,282954,56423,226531,0,121302,106120,51,66467,101715,59444
Yadadri, TG,0,0,0,9594,9594,0.93,174998,42281,217279,72325,144954,0,83720,92412,49,12449,97686,66085
Jogulamba Gadwal,TG,0.01,1,25,6657,6683,1.23,51693,10032,61725,7350,54670,0,26862,25201,12,5832,28542,17948
