District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Bagalkot, KA,0.85,281,31059,1841,33181,0.09,301648,79056,380704,95571,292709,0,150944,157536,37,46394,162004,100430
Bangalore Rural, KA,1.25,674,45512,7641,53827,0.71,200842,49519,250361,21027,236091,0,1751556,1470263,486,1402855,1053807,774136
Bangalore, KA,1.17,13622,1009322,143702,1166647,1.32,3063024,698792,3761816,443845,3445444,73,116331,92241,63,52512,91180,65155
Belgaum, KA,0.85,570,54354,11852,66776,0.22,629270,138217,767487,26619,749039,0,314635,323468,101,89402,293755,255130
Bellary, KA,1.49,1372,82253,8238,91863,0.28,462271,118764,581035,76048,514300,0,242176,230346,72,75067,246785,152030
Bidar, KA,1.59,379,23158,319,23860,0.02,277902,73903,351805,30580,328472,0,151224,138008,37,81893,121280,87248
Bijapur, KA,1.25,416,31115,1874,33405,0.08,287959,67744,355703,57916,301835,0,148973,143714,57,42507,146689,103947
Chamrajnagar, KA,1.44,392,24026,2702,27131,0.23,178990,35338,214328,37291,181016,0,88881,95340,56,29099,75856,79745
Chikkaballapura, KA,0.81,309,34216,3665,38191,0.25,257387,53460,310847,30341,284251,0,131512,129852,31,39485,121967,100158
Chikmagalur, KA,0.68,259,32372,5631,38262,0.43,229324,55220,284544,27737,258745,0,114741,117418,17,29079,107693,95620
Chitradurga, KA,0.5,149,23136,6791,30076,0.36,315075,81701,396776,44935,356948,0,158945,160734,74,36558,159910,123427
Davanagere, KA,0.85,361,38160,4051,42572,0.21,260255,64918,325173,38147,304159,0,143572,133662,43,43196,131223,103283
Dharwad, KA,1.75,978,49647,5361,55987,0.25,280275,71735,352010,22070,335237,0,147792,139769,46,60089,116264,111878
Gadag, KA,1.07,254,21137,2389,23780,0.2,187497,54297,241794,33646,213398,0,94170,95712,33,32634,85682,71648
Gulbarga, KA,1.29,775,57861,1520,60156,0.05,273482,61613,335095,30802,309350,0,147989,132514,53,71214,130297,79930
Hassan, KA,1.07,918,71126,13652,85697,0.67,355628,84574,440202,69590,376217,0,178045,183944,58,62774,149774,149917
Haveri, KA,2.26,452,18192,1370,20014,0.07,158389,33881,192270,20612,173326,0,81036,79142,23,24449,67100,68693
Kodagu, KA,0.9,228,22948,2284,25460,0.36,126505,33699,160204,19495,143014,0,63649,65620,17,23665,54403,51368
Kolar, KA,0.9,352,32523,6452,39327,0.38,368950,71803,440753,54303,390584,0,196232,184574,63,157156,130303,98818
Koppal, KA,1.35,436,28690,3105,32231,0.19,242096,55295,297391,42518,261353,0,119563,131808,43,48563,111555,93720
Mandya, KA,0.73,453,55611,6026,62090,0.29,344725,85741,430466,37441,393025,0,165392,181802,61,48405,156662,142520
Mysore, KA,1.13,1651,128757,15247,145655,0.44,783155,159197,942352,72233,870119,0,388494,395188,117,136361,362746,284444
Raichur, KA,0.72,277,34292,3864,38433,0.18,229841,64077,293918,69096,224822,0,116991,115632,31,55443,102394,75038
Ramanagara, KA,1.17,265,20491,1833,22589,0.13,257473,56860,314333,36906,277427,0,123194,136484,49,44017,112839,102925
Shimoga, KA,1.56,830,45885,6569,53284,0.28,321587,70796,392383,28884,363499,0,165744,158971,20,59749,149009,116205
Tumkur, KA,0.87,918,92428,11670,105016,0.38,480643,114430,595073,26461,568612,0,249552,238394,83,77024,224414,187053
Udupi, KA,0.55,333,54859,4885,60077,0.41,281802,86825,368627,58272,310355,0,137215,145278,30,58082,111758,112585
Uttara Kannada, KA,1.29,592,40767,4689,46048,0.29,269293,63702,332995,21476,311519,0,138776,133516,30,53561,110417,108514
Yadgir, KA,0.75,201,25174,1465,26840,0.11,166853,35892,202745,18879,183866,0,81827,87245,15,36420,79126,53815
Dakshina Kannada,KA,1.19,916,67325,8492,76735,0.34,377325,119033,496358,71710,439168,0,187628,201671,54,102342,150489,136307
