District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Angul, OR,0.35,119,28721,5149,33989,0.35,139900,29252,169152,0,173419,0,85434,59472,16,12598,80104,52288
Balangir, OR,0.28,61,20496,1134,21691,0.06,146308,41010,187318,0,189597,0,79624,68877,17,15423,71886,61204
Balasore, OR,0.44,111,21432,3725,25268,0.14,390754,90505,481259,0,488113,0,209191,188174,53,18157,203062,176186
Bargarh, OR,0.17,48,24552,3328,27928,0.2,211243,41865,253108,0,255316,0,113032,100450,38,35105,97824,80649
Bhadrak, OR,0.22,37,14313,2435,16785,0.14,197761,44570,242331,0,244307,0,107533,92046,38,9871,92763,96986
Boudh, OR,0.44,45,7002,3288,10335,0.65,55208,10834,66042,0,66226,0,30776,24857,6,4625,22705,28322
Cuttack, OR,0.28,174,54697,8079,62950,0.28,533885,99299,633184,0,641384,0,303793,238323,156,163795,212219,166058
Deogarh, OR,0.32,17,4722,586,5325,0.17,41293,9404,50697,0,50950,0,22931,18638,2,5538,18846,17181
Dhenkanal, OR,0.27,37,9521,4278,13836,0.31,152865,24936,177801,0,178849,0,84460,69488,19,9581,73680,70676
Gajapati, OR,0.7,59,7677,640,8376,0.1,73403,20738,94141,0,94990,0,34817,39558,13,8825,34771,30786
Ganjam, OR,0.92,292,30364,1095,31751,0.03,674504,134642,809146,0,812069,0,346201,331288,131,145591,272533,259642
Jagatsinghapur, OR,0.24,44,15673,2448,18165,0.19,166349,31445,197794,0,198684,0,91480,75724,21,8537,78255,80413
Jajapur, OR,0.11,31,24101,3726,27858,0.18,223680,36735,260415,0,264519,0,125692,101967,43,17216,106851,103620
Jharsuguda, OR,0.27,61,21662,837,22560,0.13,87506,25337,112843,0,114281,0,50874,38056,5,12896,42574,33447
Kalahandi, OR,0.56,125,20265,1928,22318,0.11,212941,48024,260965,0,263106,0,112039,103790,27,36721,89764,89648
Kandhamal, OR,0.44,41,8588,775,9404,0.09,103341,23612,126953,0,128913,0,50061,55737,1800,10835,48139,46852
Kendrapara, OR,0.33,53,14283,1907,16243,0.12,208867,38054,246921,0,251765,0,112728,100950,20,8232,103066,102391
Kendujhar, OR,0.36,59,15422,982,16463,0.05,226188,42651,268839,0,271986,0,121644,108024,35,19299,117298,93197
Khordha, OR,0.41,489,107369,10414,118272,0.4,766293,296963,1063256,868642,203688,0,437809,332568,123,274115,302266,193854
Koraput, OR,0.27,42,13519,1971,15532,0.12,248232,55504,303736,1,306453,0,120993,130719,55,43780,101613,106473
Malkangiri, OR,0.41,35,7656,845,8536,0.12,74844,19516,94360,0,94360,0,37444,37889,16,11151,32352,31905
Mayurbhanj, OR,0.33,96,26365,3068,29529,0.11,271292,66548,337840,0,337840,0,136152,135135,24,22161,133987,115153
Nabarangpur, OR,0.22,44,18413,1913,20370,0.14,147612,31069,178681,0,178681,0,69352,78240,20,32469,60794,54326
Nayagarh, OR,0.32,53,14021,2457,16531,0.22,132837,24868,157705,0,157705,0,71675,61222,14,7336,57354,68337
Nuapada, OR,0.26,58,21676,364,22098,0.05,69226,16471,85697,0,85697,0,34806,34408,12,6231,29659,33335
Puri, OR,0.48,158,29886,3148,33192,0.16,315419,45617,361036,0,361036,0,172955,149236,78,51364,148426,122998
Rayagada, OR,0.7,114,14753,1404,16271,0.13,127815,33618,161433,0,161433,0,60963,67097,30,12850,61004,54213
Sambalpur, OR,0.32,91,26368,1711,28170,0.14,250150,41988,292138,0,292138,0,143036,108088,39,105474,80768,65214
Sonepur, OR,0.29,33,10353,1189,11575,0.16,81783,20690,102473,0,102473,0,42461,39315,7,6104,35195,40479
Sundargarh, OR,0.5,279,51471,3898,55648,0.16,388062,52468,440530,0,440530,0,208823,179365,76,151131,144233,92692
