District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Ariyalur, TN,1.04,120,8876,2529,11525,0.29,65936,13573,79509,7501,73163,0,39522,27591,9,28188,24561,14395
Chengalpattu, TN,1.33,1888,129928,9891,141707,0.52,321360,84662,406022,57679,355693,0,181242,149459,36,118550,113196,99117
Chennai, TN,1.41,7145,467723,32069,506937,0.62,1591453,565907,2157360,563503,1634740,0,903078,739852,186,567649,592871,485898
Coimbatore, TN,0.75,1307,131965,40570,173842,0.9,521266,125581,646847,90897,567648,0,299849,237309,58,155243,212508,171053
Cuddalore, TN,1.08,534,42633,6114,49281,0.21,178377,52679,231056,41115,193391,0,107881,73865,23,57340,78430,46141
Dharmapuri, TN,0.69,130,15770,3056,18956,0.19,121736,28013,149749,20567,130337,0,69203,53684,17,49518,47929,25416
Dindigul, TN,1.53,417,23530,3336,27283,0.14,182358,47743,230101,27482,203354,0,97516,86184,18,69822,71057,42826
Erode, TN,0.61,356,41829,16093,58278,0.88,199230,47556,246786,41806,211125,0,115296,90363,31,70158,75733,60166
Kallakurichi, TN,0.64,143,17484,4592,22219,0.26,84355,18192,102547,9924,92892,0,46535,38075,13,35328,29642,19623
Kanchipuram, TN,1.56,1012,59637,4221,64870,0.2,109363,22527,131890,14036,123225,0,71967,43643,11,59757,36027,20365
Kanyakumari, TN,1.49,765,41625,8833,51223,0.42,165607,43649,209256,24255,185305,0,88142,77700,25,66026,57064,42730
Karur, TN,1.36,249,14604,3492,18345,0.27,96577,22139,118716,16930,103390,0,54143,44202,18,38933,39896,19778
Krishnagiri, TN,0.63,213,30071,3780,34064,0.16,193152,43300,236452,36021,205484,0,117407,82210,34,76122,84822,39574
Madurai, TN,1.42,943,51404,14224,66571,0.42,315260,83706,398966,55327,343639,0,173704,143179,52,120920,110936,85548
Nagapattinam, TN,1.18,365,25126,5548,31039,0.7,103141,22252,125393,16977,108416,0,61084,42828,15,45940,36379,22006
Namakkal, TN,0.81,281,27023,7512,34816,0.39,192462,53401,245863,35577,210286,0,103862,88992,39,62976,77190,52787
Nilgiris, TN,0.5,105,16513,4207,20825,0.5,156671,49813,206484,21856,184628,0,78178,79094,15,34711,73691,49018
Perambalur, TN,0.77,70,6490,2576,9136,0.37,52571,10904,63475,5669,57806,0,28664,24359,6,20575,18999,13476
Pudukkottai, TN,0.91,217,20556,2999,23772,0.16,132187,26529,158716,18785,139931,0,71462,61411,22,44222,57135,31609
Ramanathapuram, TN,1.41,248,13992,3289,17529,0.22,111368,20251,131619,15837,115782,0,55506,55879,20,40780,42245,28368
Ranipet, TN,1.48,528,32009,3154,35691,0.19,83489,16075,99564,14590,84974,0,49995,33844,14,37391,31013,15442
Salem, TN,1.51,1044,58494,9798,69336,0.25,398723,117655,516378,80016,436362,0,209129,190070,54,125948,172835,100446
Sivaganga, TN,1.08,162,12889,1949,15000,0.12,100254,23521,123775,18344,105431,0,55175,45317,13,41093,34284,25122
Tenkasi, TN,1.54,360,19295,3723,23378,0.24,97786,21324,119110,11006,108104,0,53450,45250,15,47236,31328,20327
Thanjavur, TN,1.08,544,42767,6839,50150,0.25,183897,48780,232677,30645,202032,0,104447,79858,20,65796,71156,47380
Theni, TN,0.99,373,32005,5471,37849,0.39,101032,20970,122002,15460,106542,0,56203,45479,15,44899,33218,23625
Thoothukkudi, TN,0.59,289,41334,7482,49105,0.39,146089,29472,175561,25458,150103,0,80354,66087,19,62533,50589,33349
Tiruchirappalli, TN,1.04,625,47816,11428,59869,0.37,303442,67065,370507,42503,328004,0,164771,140657,40,111273,108720,85514
Tirunelveli, TN,0.81,359,39697,4249,44305,0.21,128580,29223,157803,24891,132912,0,75325,53431,11,64015,37271,27467
Tirupathur, TN,1.58,376,20010,3462,23848,0.31,107356,20904,128260,15374,112886,0,55361,52302,18,44531,40901,22243
Tiruppur, TN,0.8,521,45371,18943,64835,0.6,225959,44099,270058,40539,229519,0,130718,96868,34,90509,82391,54779
Tiruvallur, TN,1.4,1444,95504,6459,103407,0.14,269757,64903,334660,44271,290389,0,157800,113324,35,114414,99686,57164
Tiruvannamalai, TN,1.02,432,35150,6971,42553,0.24,138038,31498,169536,26636,142900,0,78215,60921,21,61120,48300,29881
Tiruvarur, TN,0.67,211,25825,5542,31578,0.36,85666,16298,101964,16205,85759,0,51465,34553,9,38886,29116,18060
Vellore, TN,1.84,794,39269,3114,43177,0.19,185156,57245,242401,66068,176333,0,99163,86535,11,70741,70852,44064
Viluppuram, TN,0.72,262,30819,5153,36234,0.25,149776,33922,183698,16494,167204,0,82212,67627,49,52645,62080,35174
Virudhunagar, TN,1.11,436,31808,6924,39168,0.31,236076,63558,299634,19793,279841,0,115980,121106,40,72792,101889,62526
