District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Araria, BR,0.5,72,13671,654,14397,0.02,198518,27615,226133,72,229158,0,111625,90432,36,56340,69281,76641
Arwal, BR,0.69,50,7055,109,7214,0.01,49627,12612,62239,0,62890,0,27726,22893,16,15371,16466,18955
Aurangabad, BR,0.19,38,19583,192,19813,0.01,164564,29477,194041,3413,193918,0,98113,71099,44,53980,63195,52727
Banka, BR,1.17,85,7141,64,7290,0,169582,37453,207035,4912,204946,0,90327,82614,34,45035,62247,66071
Begusarai, BR,0.5,132,25754,745,26631,0.02,280654,49965,330619,0,334298,0,153658,131644,42,79541,97051,109251
Bhagalpur, BR,1.04,264,24932,275,25471,0.01,307809,59269,367078,22577,350100,0,171233,144296,54,96828,94665,125271
Bhojpur, BR,1.02,102,9759,125,9986,0,214803,43986,258789,0,261060,0,123992,94084,30,66074,73343,79054
Buxar, BR,0.87,80,8940,139,9159,0.01,149683,31415,181098,0,182275,0,84662,66881,25,37549,50822,63545
Darbhanga, BR,1.8,184,9621,430,10235,0.01,374885,77838,452723,23361,434764,0,203116,179391,57,105823,127670,150790
East Champaran, BR,0.68,126,17806,510,18442,0.01,387906,56871,444777,17408,433974,0,229879,167471,178,123763,143798,131686
Gaya, BR,0.55,186,33037,372,33595,0.01,339599,91062,430661,143093,293121,0,192047,155257,67,118776,121037,108204
Gopalganj, BR,0.26,42,15443,444,15929,0.02,202223,39222,241445,0,246575,0,118164,90485,22,53900,74281,81941
Jamui, BR,0.48,44,9112,106,9262,0.01,144919,27510,172429,0,174723,0,81000,66981,32,40790,45660,61951
Jehanabad, BR,0.62,66,10545,97,10708,0.01,93885,15736,109621,4931,106052,0,52380,43123,31,31801,31955,31820
Kaimur (bhabua), BR,0.84,41,4828,25,4894,0,133309,20851,154160,0,156554,0,75596,60735,31,38516,45417,53010
Katihar, BR,0.27,48,17124,420,17592,0.01,191389,39012,230401,0,235049,0,108341,89630,25,74589,68785,56306
Khagaria, BR,0.43,42,9405,260,9707,0.01,123679,23062,146741,0,148405,0,67296,58623,17,36195,38485,51575
Kishanganj, BR,0.32,31,9050,502,9583,0.03,118362,27199,145561,0,147568,0,67266,54348,20,40216,44902,37077
Lakhisarai, BR,0.54,40,7308,121,7469,0.01,68286,13140,81426,0,82816,0,38581,31559,14,22403,21515,26382
Madhepura, BR,0.71,85,11539,409,12033,0.02,163515,27890,191405,0,191405,0,90457,73784,35,43402,54202,67020
Madhubani, BR,0.82,147,17256,419,17822,0.01,366704,77514,444218,0,444218,0,195251,172677,69,98511,109361,160952
Munger, BR,0.95,139,14120,394,14653,0.02,124038,28343,152381,1,152380,0,71383,53613,32,38874,42320,44145
Muzaffarpur, BR,0.95,292,29896,454,30642,0.01,379265,59283,438548,37674,400874,0,216421,165089,56,134152,122660,126034
Nalanda, BR,1.02,235,22250,622,23107,0.02,311426,59210,370636,8167,362469,0,165767,146937,56,85101,99498,128605
Nawada, BR,1.03,103,9850,81,10034,0,185070,38901,223971,7396,216575,0,98400,87678,35,50694,62612,73101
Patna, BR,0.83,1207,142109,1548,144864,0.02,799372,262930,1062302,539556,522746,0,478541,343918,130,305951,296447,221156
Purnia, BR,0.29,68,23110,310,23488,0.01,328113,50973,379086,19869,359217,0,178359,154485,89,91113,133782,108404
Rohtas, BR,1.06,146,13442,151,13739,0,243700,45723,289423,4104,285319,0,139860,105831,37,69520,82563,93779
Saharsa, BR,0.23,40,16820,230,17090,0.01,170800,31711,202511,0,202511,0,91653,80736,53,43820,52865,76116
Samastipur, BR,0.52,100,18693,541,19334,0.01,352468,78582,431050,7877,423173,0,189963,163655,65,98849,122299,132661
Saran (chhapra), BR,0.93,211,21989,378,22578,0.01,399111,82014,481125,17899,463226,0,216808,183746,79,110044,143412,147132
Sheikhpura, BR,0.52,39,7432,90,7561,0.01,56493,13543,70036,0,70036,0,30181,26666,10,15017,18317,23546
Sheohar, BR,0.4,17,4113,154,4284,0.03,71912,12457,84369,0,84369,0,38584,34012,9,15569,22614,34577
Sitamarhi, BR,0.93,83,8597,265,8945,0.01,249977,43822,293799,0,293799,0,136526,115140,28,68531,81318,102061
Siwan, BR,1,147,14348,251,14746,0.01,376573,81929,458502,14613,443889,0,199749,178315,76,85273,150752,142079
Supaul, BR,0.44,72,15767,608,16447,0.02,181042,23049,204091,0,204091,0,101472,80646,39,48409,64555,69428
Vaishali, BR,0.65,126,18956,280,19363,0.01,294051,59587,353638,39698,313940,0,156588,138113,44,70762,96801,127146
West Champaran, BR,1.57,325,20042,347,20714,0.01,252820,35525,288345,0,288345,0,151958,106364,61,88016,88354,82845
