District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Ajmer, RJ,1.08,403,36166,847,37416,0.03,614947,161269,776216,100878,680114,0,312252,308032,98,119265,263530,238056
Alwar, RJ,0.5,289,55330,2489,58108,0.06,883432,191804,1075236,57615,1035149,0,478293,427178,141,176461,387833,346357
Banswara, RJ,1,99,9479,333,9911,0.02,334221,75869,410090,17947,395155,0,166037,171054,73,51230,163559,122532
Baran, RJ,0.49,58,11527,365,11950,0.03,236475,62443,298918,12860,286170,0,124240,112288,38,40328,95760,100442
Barmer, RJ,1.18,180,14310,761,15251,0.03,497660,104163,601823,52015,557747,0,275677,230444,61,70770,225423,211568
Bharatpur, RJ,1.28,250,18716,533,19499,0.02,488178,79933,568111,22498,551881,0,266273,228995,90,102247,188488,205498
Bhilwara, RJ,0.51,150,28989,521,29660,0.02,491824,85077,576901,24302,559468,0,252141,247730,101,104968,188581,207198
Bikaner, RJ,1.26,502,38077,1140,39719,0.04,533867,155674,689541,70977,620567,0,289899,245592,86,124123,234098,177479
Bundi, RJ,0.56,44,7592,277,7913,0.02,283086,79124,362210,11557,351015,0,142691,140694,71,39263,124916,119248
Chittorgarh, RJ,0.65,127,18951,606,19684,0.03,330303,72348,402651,19269,385136,0,171225,161386,43,51604,138603,142506
Churu, RJ,0.61,101,15627,777,16505,0.04,372808,83153,455961,13036,450728,0,193957,189649,57,58371,161311,164960
Dausa, RJ,0.42,55,12689,369,13113,0.02,264981,53721,318702,26647,303993,0,147288,130425,34,46091,110012,122034
Dholpur, RJ,0.44,48,10726,199,10973,0.01,247640,56842,304482,18917,285722,0,132422,115351,37,53492,92136,102173
Dungarpur, RJ,0.65,120,17656,592,18368,0.04,213949,53792,267741,8397,261876,0,105588,111762,42,37519,87151,93089
Ganganagar, RJ,0.67,126,17220,1527,18873,0.07,404316,95439,499755,43259,459300,0,214600,193210,58,66117,184613,157332
Hanumangarh, RJ,0.56,86,13698,1533,15317,0.07,353585,46671,400256,13415,398678,0,193933,173914,39,60075,173688,134861
Jaipur, RJ,1.03,1914,177837,5716,185467,0.07,1561408,352270,1913678,343841,1590041,0,864552,718335,253,406321,663035,513522
Jaisalmer, RJ,0.46,61,12430,884,13375,0.12,123764,36512,160276,27304,134227,0,73670,51351,10,36978,49547,38592
Jalore, RJ,0.72,72,9898,64,10034,0,280044,64471,344515,11519,335175,0,151372,131199,76,41811,109482,131558
Jhalawar, RJ,1.37,185,13032,263,13480,0.02,258794,57418,316212,9714,307740,0,136037,123620,35,48364,89053,122188
Jhunjhunu, RJ,1.06,153,13197,1042,14392,0.04,512207,126422,638629,37356,604604,0,252278,263539,81,69203,212920,233715
Jodhpur, RJ,0.96,1072,108735,1869,111676,0.04,789346,181121,970467,109475,876715,0,434376,374657,105,156288,360928,294663
Karauli, RJ,0.96,68,6829,188,7085,0.01,267300,48215,315515,17410,298961,0,138788,129257,61,35189,107707,125220
Kota, RJ,0.78,442,55572,924,56938,0.04,495505,94525,590030,46504,545488,0,268572,228934,85,139276,203235,155087
Nagaur, RJ,0.99,174,16829,528,17531,0.01,799116,209748,1008864,31207,977657,0,397072,402720,124,92254,380227,327422
Pali, RJ,1.05,284,25976,892,27152,0.04,423582,96605,520187,19280,500907,0,222150,201869,57,87954,152551,183498
Pratapgarh, RJ,0.82,58,6733,245,7036,0.02,147987,28290,176277,5824,170453,0,77675,71113,21,49093,48787,50833
Rajsamand, RJ,0.92,156,16364,404,16924,0.03,235611,60301,295912,14485,281427,0,116608,119456,44,39930,90064,106286
Sawai Madhopur, RJ,0.54,57,10325,185,10567,0.01,239332,53458,292790,18668,274122,0,129498,110366,31,49791,85655,104368
Sikar, RJ,1.08,325,28753,1074,30152,0.03,623496,105676,729172,52814,676358,0,316769,307131,75,130982,259360,233552
Sirohi, RJ,0.57,77,13218,241,13536,0.02,193859,36978,230837,14861,215976,0,100958,92938,26,35877,84678,73336
Tonk, RJ,0.94,87,8872,300,9259,0.02,246498,52359,298857,51826,247031,0,130214,120975,36,40293,106652,104782
Udaipur, RJ,1.22,680,53679,1445,55804,0.04,575714,135179,710893,68724,642169,0,300907,276199,80,151778,212304,213091
