District,State_Abbreviation,Case_Fatality_Value,Deaths_Value,Recovered_Value,Active_Cases_Value,Confirmed_Cases_Value,Infection_rate_Value,First_Dose_Value,Second_Dose_Value,Total_Dose_Value,Covaxin_Value,Covishield_Value,Sputnik_Value,Male_Doses_Value,Female_Doses_Value,Other_Doses_Value,18_to_45_Value,45_to_60_Value,60_plus_Value
Alipurduar, WB,0.78,94,11117,819,12030,0.05,210441,65446,275887,43182,237016,0,124616,92016,42,58600,86510,74048
Bankura, WB,0.75,222,27151,2374,29747,0.06,395713,167546,563259,82684,489385,0,245039,161627,29,119027,151644,137392
Birbhum, WB,0.66,255,37670,699,38624,0.02,463162,134358,597520,62162,547172,0,259454,217522,70,106221,212737,158520
Cooch Behar, WB,0.39,84,19843,1722,21649,0.05,293272,86564,379836,35832,347023,0,172985,125185,46,82235,106289,111724
Darjiling, WB,0.86,373,39425,3399,43197,0.19,324399,116223,440622,73341,375207,0,178842,155928,160,99192,137746,99962
Hooghly, WB,1.02,760,69836,3574,74170,0.06,776582,285421,1062003,106048,972256,0,438794,357233,66,146905,348306,303987
Howrah, WB,1.57,1367,81095,4568,87030,0.08,586692,204865,791557,64091,743034,0,338127,265825,66,133815,256506,214447
Jalpaiguri, WB,1.22,392,29001,2699,32092,0.1,219867,65567,285434,36512,252679,0,133263,90733,53,74621,91760,58268
Jhargram, WB,0.27,23,7700,839,8562,0.06,93525,40097,133622,20269,116967,0,64406,34117,6,41518,32755,24771
Kalimpong, WB,0.74,36,4441,402,4879,0.12,74288,28706,102994,11617,92337,0,38405,36834,10,19249,32642,23352
Kolkata, WB,1.53,4553,285937,8004,298494,0.16,1558522,518104,2076626,299852,1834069,0,920024,705383,273,460339,651137,519094
Malda, WB,0.57,180,30648,798,31626,0.02,371066,112015,483081,88017,395064,0,204116,168023,94,103376,160749,108289
Murshidabad, WB,0.88,287,31389,870,32546,0.01,618105,204660,822765,98576,724189,0,330606,288528,95,140807,266317,212497
Nadia, WB,0.8,496,57866,3661,62023,0.06,531257,162222,693479,53991,639488,0,303734,228873,79,126534,216474,189904
North 24 Parganas, WB,1.34,4027,282950,12859,299836,0.11,1413979,415809,1829788,207676,1622112,0,796750,633897,170,375054,568254,497264
Paschim Bardhaman, WB,0.57,303,50772,2394,53469,0.07,321246,95116,416362,38706,377656,0,197080,126276,47,104760,125042,93999
Paschim Medinipur, WB,0.95,413,40450,2594,43457,0.05,510347,176807,687154,78992,608162,0,302994,214137,45,126448,195248,196202
Purba Bardhaman, WB,0.36,131,34763,1629,36523,0.03,582822,186419,769241,55188,714053,0,330620,261635,47,121535,255196,216557
Purba Medinipur, WB,0.65,328,47507,2858,50693,0.05,808938,270634,1079572,102507,977065,0,452163,360153,84,163304,329721,319648
Purulia, WB,0.58,108,18199,353,18660,0.01,283098,92831,375929,57535,318394,0,168377,114740,27,83431,110091,89595
South 24 Parganas, WB,1.27,1125,82644,4660,88429,0.05,1037388,345580,1382968,99464,1283504,0,559591,485254,157,230950,435085,379794
Uttar Dinajpur, WB,1.1,195,16691,810,17696,0.03,246784,77948,324732,39680,285052,0,137040,109886,76,73844,100910,72218
Dakshin Dinajpur,WB,0.95,145,14265,897,15307,0.04,227918,83120,311038,48426,265731,0,124444,108464,41,64568,96525,74152
